sentiment,text
positive,"super fast shipping, perfect fit  Thanks!!!!!!!!!!!!"
positive,"This is one of those things that you can save a bundle on doing yourself compared to the dealership, and it's literally a 2 minute job. Hardest part is locating where your filter is in your cabin - usually somewhere under or around your glove compartment. Then it's simply a matter of undoing a couple of plastic screws, dropping the old one out and sticking the new one in. You'll want a handvac handy to take care of any debris from the used filter."
positive,This tool does easily reach the inner windshield where it's hard to reach to clean.
positive,Works well..does the job right
positive,The clutch works perfect but it would not work in my application
positive,It works great but I should have bought one that works with my smart phone.
positive,"Nice sticker, hope it lasts long"
positive,"Only had this headlight for a few weeks but I'm impressed so far. Easy installation, it took maybe 10 minutes. Haven't noticed much difference between Hugh beam and low beam with the low beam being so bright. This is much brighter than the factory headlight. I'd recommend it to anyone needing to replace or upgrade"
positive,"it umm locks threads, I wish they would put the temps and such on the bottle so i can throw away the packages"
positive,"Great fit, same quality as OEM and for a fraction of the cost.  Instead of buying a golf cart tune up<br />Kit I was able to source all the parts for the kit for a 1/4 of the price."
negative,"Never believe the ""universal fit"" propaganda. I have one for my Ford Explorer and it fits most of the windshield. There is a two inch gap on each side of the umbrella.<br /><br />I also bought one for my wife's car, a Mazda 6. It broke the first time she opened it."
positive,quickly and easily cleaned up my towbar
positive,Holds phone very tight and doesn.t move around
positive,Made the gille pop!
positive,Works great! Gets in all the crevices in the car!
positive,"It's been 9 months and 4,000 miles since I installed it and no issues.(I don't drive that much) sure hope it lasts for years."
positive,"Item delivered as described, would/will to business with seller again."
positive,I’ve purchase 3 of these already. One for me and the others for friends and family.
positive,"I put this cleaner in everything l have with internal combustion, including my mower. I would say that unless anyone is totally mechanically inept, the difference after a reasonable running time with this cleaner is not to be believed. The cost is more than offset by the gain in fuel consumption, smoothness and power output. My wife's Prius after four yesrs of on board computerized 44mpg jumped to 47 after the first tank with this cleaner...unreal!"
negative,"at first glance they looked great, installed just fine. Rechecked torque after heatcycles. No problems.<br /><br />First year, no issues. No backing out. All great.<br /><br />Now while racing my car one of the heads of one bolts decided to pop off.<br />After many a drill bit and lots of fun I managed to get it out...what a nightmare.<br /><br />Steel was good, casting was not. Examining the break you can see how cheap it is...<br /><br />used to love mr.gasket..."
positive,"exact fit, albeit tight, for Dodge Ram 1500 with 4.7 ltr engine"
positive,Worked great in the camper but need to make sure we have the water conditioner hooked up!! Debris in the water clogged up the nozzles and need to use CLR to clear the debris!!
positive,Works on all airlines. If you need a seat belt extender these are the deal. Great product and has safety notice so its the real deal. Good value for your money.
